y,d,s,c,fixorder,g,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Teachers,9628,28321,1803,39752,24.2,12,35992,3748,0.03
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Principals,112,454,165,731,15.3,0,528,203,0
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Other,313,471,452,1236,25.3,0,872,364,0
1718,6,0,Low Poverty Schools,6,Poverty Classifications,Teachers,772,2629,51,3452,22.4,4,3335,113,0.12
1718,6,0,Low Poverty Schools,6,Poverty Classifications,Principals,2,41,7,50,4,0,49,1,0
1718,6,0,Low Poverty Schools,6,Poverty Classifications,Other,20,58,37,115,17.4,0,100,15,0
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Teachers,9552,30932,1443,41927,22.8,19,38334,3574,0.05
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Principals,95,523,158,776,12.2,0,573,203,0
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Other,358,526,470,1354,26.4,0,967,387,0
1819,6,0,Low Poverty Schools,6,Poverty Classifications,Teachers,596,3035,64,3695,16.1,0,3580,115,0
1819,6,0,Low Poverty Schools,6,Poverty Classifications,Principals,3,46,5,54,5.6,0,52,2,0
1819,6,0,Low Poverty Schools,6,Poverty Classifications,Other,22,70,23,115,19.1,0,107,8,0
1718,0,0,High Minority Schools,7,Minority Classifications,Teachers,11321,24702,1442,37465,30.2,38,33953,3474,0.1
1718,0,0,High Minority Schools,7,Minority Classifications,Principals,84,647,95,826,10.2,0,407,419,0
1718,0,0,High Minority Schools,7,Minority Classifications,Other,398,590,280,1268,31.4,1,593,674,0.08
1718,6,0,High Minority Schools,7,Minority Classifications,Teachers,1641,3782,196,5619,29.2,3,5293,323,0.05
1718,6,0,High Minority Schools,7,Minority Classifications,Principals,3,102,13,118,2.5,0,113,5,0
1718,6,0,High Minority Schools,7,Minority Classifications,Other,73,89,34,196,37.2,0,174,22,0
1819,0,0,High Minority Schools,7,Minority Classifications,Teachers,11782,24997,968,37747,31.2,40,33869,3838,0.11
1819,0,0,High Minority Schools,7,Minority Classifications,Principals,93,667,84,844,11,0,681,163,0
1819,0,0,High Minority Schools,7,Minority Classifications,Other,431,631,256,1318,32.7,0,1061,257,0
1819,6,0,High Minority Schools,7,Minority Classifications,Teachers,1607,3757,192,5556,28.9,6,5258,292,0.11
1819,6,0,High Minority Schools,7,Minority Classifications,Principals,5,107,9,121,4.1,0,120,1,0
1819,6,0,High Minority Schools,7,Minority Classifications,Other,77,92,32,201,38.3,0,185,16,0
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,25726,60574,2661,88961,28.9,109,81862,6990,0.12
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,207,1147,323,1677,12.3,1,1133,543,0.06
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Other,743,1065,1123,2931,25.3,1,1996,934,0.03
1718,6,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,2308,7338,280,9926,23.3,3,9549,374,0.03
1718,6,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,5,133,20,158,3.2,0,148,10,0
1718,6,0,Mid-Range Minority Schools,8,Minority Classifications,Other,73,208,61,342,21.3,0,313,29,0
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,25138,63021,2315,90474,27.8,78,83024,7372,0.09
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,177,1192,351,1720,10.3,1,1285,434,0.06
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Other,771,1187,1108,3066,25.1,0,2214,852,0
1819,6,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,2194,7454,192,9840,22.3,5,9481,354,0.05
1819,6,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,4,134,22,160,2.5,0,156,4,0
1819,6,0,Mid-Range Minority Schools,8,Minority Classifications,Other,63,212,60,335,18.8,0,311,24,0
1718,0,0,Low Minority Schools,9,Minority Classifications,Teachers,8821,31565,1360,41746,21.1,10,38412,3324,0.02
1718,0,0,Low Minority Schools,9,Minority Classifications,Principals,125,501,162,788,15.9,1,621,166,0.13
1718,0,0,Low Minority Schools,9,Minority Classifications,Other,436,453,414,1303,33.5,1,1000,302,0.08
1718,6,0,Low Minority Schools,9,Minority Classifications,Teachers,66,243,1,310,21.3,0,307,3,0
1718,6,0,Low Minority Schools,9,Minority Classifications,Principals,0,4,0,4,0,0,4,0,0
1718,6,0,Low Minority Schools,9,Minority Classifications,Other,4,4,1,9,44.4,0,9,0,0
1819,0,0,Low Minority Schools,9,Minority Classifications,Teachers,8936,32068,960,41964,21.3,13,38417,3534,0.03
1819,0,0,Low Minority Schools,9,Minority Classifications,Principals,118,529,162,809,14.6,0,613,196,0
1819,0,0,Low Minority Schools,9,Minority Classifications,Other,385,464,510,1359,28.3,0,994,365,0
1819,6,0,Low Minority Schools,9,Minority Classifications,Teachers,63,241,1,305,20.7,0,299,6,0
1819,6,0,Low Minority Schools,9,Minority Classifications,Principals,0,4,0,4,0,0,3,1,0
1819,6,0,Low Minority Schools,9,Minority Classifications,Other,3,5,1,9,33.3,0,8,1,0
1718,6,11,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,6,37,0,43,14,0,42,1,0
1718,6,11,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,11,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,21,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,26,39,3,68,38.2,0,65,3,0
1718,6,21,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,21,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,3,0,3,0,0,3,0,0
1718,6,31,High Minority/High Poverty/Title I,10,School Chart,Teachers,7,38,1,46,15.2,0,44,2,0
1718,6,31,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,31,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,41,High Minority/High Poverty/Title I,10,School Chart,Teachers,9,19,0,28,32.1,0,28,0,0
1718,6,41,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,41,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,101,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,10,31,0,41,24.4,0,40,1,0
1718,6,101,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,101,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,111,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,6,43,0,49,12.2,0,49,0,0
1718,6,111,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,111,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,121,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,6,27,0,33,18.2,0,32,1,0
1718,6,121,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,121,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,131,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,34,72,2,108,31.5,0,106,2,0
1718,6,131,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,131,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,2,1,0,3,66.7,0,3,0,0
1718,6,151,High Minority/High Poverty/Title I,10,School Chart,Teachers,4,34,0,38,10.5,0,38,0,0
1718,6,151,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,151,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,161,High Minority/High Poverty/Title I,10,School Chart,Teachers,13,22,1,36,36.1,0,35,1,0
1718,6,161,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,161,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,171,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,20,77,3,100,20,0,97,3,0
1718,6,171,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,171,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,3,0,4,25,0,4,0,0
1718,6,185,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,4,51,3,58,6.9,0,55,3,0
1718,6,185,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,185,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,3,0,3,0,0,3,0,0
1718,6,191,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,13,33,1,47,27.7,0,46,1,0
1718,6,191,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,191,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,201,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,7,26,1,34,20.6,0,28,6,0
1718,6,201,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,201,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,13,59,0,72,18.1,0,72,0,0
1718,6,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,2,2,0,4,50,0,4,0,0
1718,6,221,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,12,36,0,48,25,0,47,1,0
1718,6,221,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,221,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,231,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,12,38,0,50,24,0,48,2,0
1718,6,231,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,231,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,241,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,28,68,2,98,28.6,0,96,2,0
1718,6,241,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,241,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,3,2,0,5,60,0,5,0,0
1718,6,251,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,26,43,0,69,37.7,0,69,0,0
1718,6,251,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,251,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,2,1,0,3,66.7,0,3,0,0
1718,6,271,High Minority/High Poverty/Title I,10,School Chart,Teachers,10,37,2,49,20.4,0,46,3,0
1718,6,271,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,271,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,321,High Minority/High Poverty/Title I,10,School Chart,Teachers,21,27,0,48,43.8,0,46,2,0
1718,6,321,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,321,High Minority/High Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,331,High Minority/High Poverty/Title I,10,School Chart,Teachers,8,16,2,26,30.8,0,24,2,0
1718,6,331,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,331,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,341,High Minority/High Poverty/Title I,10,School Chart,Teachers,12,25,2,39,30.8,0,37,2,0
1718,6,341,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,341,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,343,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,11,28,0,39,28.2,0,39,0,0
1718,6,343,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,343,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,2,0,3,33.3,0,3,0,0
1718,6,361,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,21,78,2,101,20.8,0,99,2,0
1718,6,361,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,361,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,2,2,0,4,50,0,4,0,0
1718,6,371,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,29,87,1,117,24.8,0,116,1,0
1718,6,371,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,371,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,4,0,5,20,0,5,0,0
1718,6,391,High Minority/High Poverty/Title I,10,School Chart,Teachers,9,27,2,38,23.7,0,34,4,0
1718,6,391,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,391,High Minority/High Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,403,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,14,54,1,69,20.3,0,68,1,0
1718,6,403,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,403,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,3,0,4,25,0,4,0,0
1718,6,405,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,3,16,1,20,15,0,19,1,0
1718,6,405,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,405,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,452,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,12,76,2,90,13.3,0,88,2,0
1718,6,452,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,452,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,3,0,4,25,0,4,0,0
1718,6,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,11,26,0,37,29.7,0,35,2,0
1718,6,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,471,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,6,35,0,41,14.6,0,41,0,0
1718,6,471,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,471,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,2,1,0,3,66.7,0,3,0,0
1718,6,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,15,35,2,52,28.8,0,50,2,0
1718,6,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,2,1,0,3,66.7,0,3,0,0
1718,6,491,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,1,29,1,31,3.2,0,30,1,0
1718,6,491,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,491,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,501,High Minority/High Poverty/Title I,10,School Chart,Teachers,8,15,1,24,33.3,0,22,2,0
1718,6,501,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,501,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,511,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,6,33,0,39,15.4,0,38,1,0
1718,6,511,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,511,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,521,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,15,42,0,57,26.3,0,57,0,0
1718,6,521,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,521,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,531,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,11,27,1,39,28.2,0,37,2,0
1718,6,531,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,531,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,551,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,14,28,0,42,33.3,0,42,0,0
1718,6,551,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,551,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,3,0,0,3,100,0,3,0,0
1718,6,561,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,7,47,1,55,12.7,0,53,2,0
1718,6,561,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,561,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,571,High Minority/High Poverty/Title I,10,School Chart,Teachers,14,28,1,43,32.6,0,42,1,0
1718,6,571,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,571,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,581,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,21,54,1,76,27.6,0,76,0,0
1718,6,581,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,581,Mid-Range Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,2,0,3,33.3,0,3,0,0
1718,6,601,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,3,15,0,18,16.7,0,18,0,0
1718,6,601,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,601,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,611,High Minority/High Poverty/Title I,10,School Chart,Teachers,8,19,1,28,28.6,0,26,2,0
1718,6,611,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,611,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,621,High Minority/High Poverty/Title I,10,School Chart,Teachers,7,20,1,28,25,0,27,1,0
1718,6,621,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,621,High Minority/High Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,1,0,0
1718,6,631,High Minority/High Poverty/Title I,10,School Chart,Teachers,21,19,0,40,52.5,0,38,2,0
1718,6,631,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,6,631,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,6,641,Low Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,3,34,0,37,8.1,0,37,0,0
