y,d,s,c,fixorder,g,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Teachers,9628,28321,1803,39752,24.2,12,35992,3748,0.03
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Principals,112,454,165,731,15.3,0,528,203,0
1718,0,0,Low Poverty Schools,6,Poverty Classifications,Other,313,471,452,1236,25.3,0,872,364,0
1718,13,0,Low Poverty Schools,6,Poverty Classifications,Teachers,1006,1818,110,2934,34.3,1,2680,253,0.03
1718,13,0,Low Poverty Schools,6,Poverty Classifications,Principals,22,43,1,66,33.3,0,18,48,0
1718,13,0,Low Poverty Schools,6,Poverty Classifications,Other,37,45,4,86,43,0,13,73,0
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Teachers,9552,30932,1443,41927,22.8,19,38334,3574,0.05
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Principals,95,523,158,776,12.2,0,573,203,0
1819,0,0,Low Poverty Schools,6,Poverty Classifications,Other,358,526,470,1354,26.4,0,967,387,0
1819,13,0,Low Poverty Schools,6,Poverty Classifications,Teachers,887,1581,24,2492,35.6,0,2296,196,0
1819,13,0,Low Poverty Schools,6,Poverty Classifications,Principals,12,34,0,46,26.1,0,42,4,0
1819,13,0,Low Poverty Schools,6,Poverty Classifications,Other,29,45,1,75,38.7,0,64,11,0
1718,0,0,High Minority Schools,7,Minority Classifications,Teachers,11321,24702,1442,37465,30.2,38,33953,3474,0.1
1718,0,0,High Minority Schools,7,Minority Classifications,Principals,84,647,95,826,10.2,0,407,419,0
1718,0,0,High Minority Schools,7,Minority Classifications,Other,398,590,280,1268,31.4,1,593,674,0.08
1718,13,0,High Minority Schools,7,Minority Classifications,Teachers,3836,11499,652,15987,24,12,14727,1248,0.08
1718,13,0,High Minority Schools,7,Minority Classifications,Principals,42,286,15,343,12.2,0,41,302,0
1718,13,0,High Minority Schools,7,Minority Classifications,Other,177,325,27,529,33.5,0,38,491,0
1819,0,0,High Minority Schools,7,Minority Classifications,Teachers,11782,24997,968,37747,31.2,40,33869,3838,0.11
1819,0,0,High Minority Schools,7,Minority Classifications,Principals,93,667,84,844,11,0,681,163,0
1819,0,0,High Minority Schools,7,Minority Classifications,Other,431,631,256,1318,32.7,0,1061,257,0
1819,13,0,High Minority Schools,7,Minority Classifications,Teachers,4270,11678,65,16013,26.7,9,14704,1300,0.06
1819,13,0,High Minority Schools,7,Minority Classifications,Principals,46,305,0,351,13.1,0,302,49,0
1819,13,0,High Minority Schools,7,Minority Classifications,Other,173,358,0,531,32.6,0,473,58,0
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,25726,60574,2661,88961,28.9,109,81862,6990,0.12
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,207,1147,323,1677,12.3,1,1133,543,0.06
1718,0,0,Mid-Range Minority Schools,8,Minority Classifications,Other,743,1065,1123,2931,25.3,1,1996,934,0.03
1718,13,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,619,2153,102,2874,21.5,1,2685,188,0.03
1718,13,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,5,48,4,57,8.8,0,2,55,0
1718,13,0,Mid-Range Minority Schools,8,Minority Classifications,Other,25,61,5,91,27.5,0,2,89,0
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,25138,63021,2315,90474,27.8,78,83024,7372,0.09
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,177,1192,351,1720,10.3,1,1285,434,0.06
1819,0,0,Mid-Range Minority Schools,8,Minority Classifications,Other,771,1187,1108,3066,25.1,0,2214,852,0
1819,13,0,Mid-Range Minority Schools,8,Minority Classifications,Teachers,691,2168,3,2862,24.1,0,2632,230,0
1819,13,0,Mid-Range Minority Schools,8,Minority Classifications,Principals,5,52,0,57,8.8,0,51,6,0
1819,13,0,Mid-Range Minority Schools,8,Minority Classifications,Other,25,65,1,91,27.5,0,84,7,0
1718,0,0,Low Minority Schools,9,Minority Classifications,Teachers,8821,31565,1360,41746,21.1,10,38412,3324,0.02
1718,0,0,Low Minority Schools,9,Minority Classifications,Principals,125,501,162,788,15.9,1,621,166,0.13
1718,0,0,Low Minority Schools,9,Minority Classifications,Other,436,453,414,1303,33.5,1,1000,302,0.08
1819,0,0,Low Minority Schools,9,Minority Classifications,Teachers,8936,32068,960,41964,21.3,13,38417,3534,0.03
1819,0,0,Low Minority Schools,9,Minority Classifications,Principals,118,529,162,809,14.6,0,613,196,0
1819,0,0,Low Minority Schools,9,Minority Classifications,Other,385,464,510,1359,28.3,0,994,365,0
1718,13,41,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,9,55,1,65,13.8,0,62,3,0
1718,13,41,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,41,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,1,0,2,50,0,0,2,0
1718,13,70,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,17,12,0,29,58.6,0,26,3,0
1718,13,70,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,2,0,2,0,0,0,2,0
1718,13,70,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Other,0,0,0,0,,0,0,0,
1718,13,71,High Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,12,75,9,96,12.5,0,92,4,0
1718,13,71,High Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,71,High Minority/Low Poverty/Non-Title I,10,School Chart,Other,2,2,0,4,50,0,0,4,0
1718,13,72,High Minority/Low Poverty/Title I,10,School Chart,Teachers,18,6,0,24,75,0,23,1,0
1718,13,72,High Minority/Low Poverty/Title I,10,School Chart,Principals,1,0,0,1,100,0,1,0,0
1718,13,72,High Minority/Low Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,13,73,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,15,47,4,66,22.7,0,63,3,0
1718,13,73,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,73,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,2,0,2,0,0,0,2,0
1718,13,81,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,7,18,2,27,25.9,0,25,2,0
1718,13,81,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,81,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,0,1,1,0,0,0,1,0
1718,13,91,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,13,88,5,106,12.3,0,104,2,0
1718,13,91,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,91,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,4,0,4,0,0,0,4,0
1718,13,92,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,26,90,6,122,21.3,0,115,7,0
1718,13,92,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,92,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Other,1,2,0,3,33.3,0,0,3,0
1718,13,100,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,53,6,1,60,88.3,0,57,3,0
1718,13,100,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,13,100,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,2,0,2,0,0,2,0,0
1718,13,101,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,12,27,0,39,30.8,0,32,7,0
1718,13,101,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,101,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,102,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,23,0,2,25,92,0,21,4,0
1718,13,102,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,2,0,0,2,100,0,0,2,0
1718,13,102,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,111,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,7,37,4,48,14.6,0,45,3,0
1718,13,111,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,111,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,121,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,11,48,2,61,18,0,58,3,0
1718,13,121,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,121,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,1,0,2,50,0,0,2,0
1718,13,122,High Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,7,60,3,70,10,0,67,3,0
1718,13,122,High Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,122,High Minority/Low Poverty/Non-Title I,10,School Chart,Other,1,1,0,2,50,0,0,2,0
1718,13,125,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,5,68,4,77,6.5,0,72,5,0
1718,13,125,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,125,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,1,0,2,50,0,0,2,0
1718,13,161,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,15,28,2,45,33.3,0,40,5,0
1718,13,161,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,161,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,201,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,1,21,3,25,4,0,21,4,0
1718,13,201,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,201,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,0,0,0,,0,0,0,
1718,13,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,4,42,1,47,8.5,0,43,4,0
1718,13,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,211,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,2,0,2,0,0,0,2,0
1718,13,231,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,31,88,4,123,25.2,0,114,9,0
1718,13,231,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,231,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Other,0,2,1,3,0,0,0,3,0
1718,13,241,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,8,67,3,78,10.3,0,75,3,0
1718,13,241,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,241,Mid-Range Minority/Low Poverty/Non-Title I,10,School Chart,Other,0,2,0,2,0,0,0,2,0
1718,13,251,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,1,46,4,51,2,0,50,1,0
1718,13,251,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,251,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,261,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,0,18,0,18,0,0,18,0,0
1718,13,261,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,261,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,271,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,1,32,2,35,2.9,0,33,2,0
1718,13,271,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,271,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,311,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,0,31,1,32,0,0,31,1,0
1718,13,311,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,311,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,312,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,37,3,1,41,90.2,0,39,2,0
1718,13,312,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,1,0,0,1,100,0,1,0,0
1718,13,312,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,13,321,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,13,33,1,47,27.7,0,43,4,0
1718,13,321,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,321,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,2,0,0,2,100,0,0,2,0
1718,13,332,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,26,12,0,38,68.4,0,34,4,0
1718,13,332,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,1,0,0
1718,13,332,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,1,0,2,50,0,2,0,0
1718,13,339,High Minority/Low Poverty/Title I,10,School Chart,Teachers,25,3,1,29,86.2,0,26,3,0
1718,13,339,High Minority/Low Poverty/Title I,10,School Chart,Principals,1,0,0,1,100,0,1,0,0
1718,13,339,High Minority/Low Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,341,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,8,24,2,34,23.5,0,30,4,0
1718,13,341,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,341,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,342,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,29,8,0,37,78.4,0,36,1,0
1718,13,342,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,1,0,0,1,100,0,1,0,0
1718,13,342,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,2,0,0,2,100,0,2,0,0
1718,13,351,High Minority/High Poverty/Non-Title I,10,School Chart,Teachers,1,0,0,1,100,0,1,0,0
1718,13,351,High Minority/High Poverty/Non-Title I,10,School Chart,Principals,0,0,0,0,,0,0,0,
1718,13,351,High Minority/High Poverty/Non-Title I,10,School Chart,Other,0,0,0,0,,0,0,0,
1718,13,361,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,15,26,0,41,36.6,0,36,5,0
1718,13,361,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,361,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,400,High Minority/Low Poverty/Non-Title I,10,School Chart,Teachers,22,24,0,46,47.8,0,45,1,0
1718,13,400,High Minority/Low Poverty/Non-Title I,10,School Chart,Principals,1,0,0,1,100,0,1,0,0
1718,13,400,High Minority/Low Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,13,401,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,14,19,1,34,41.2,0,30,4,0
1718,13,401,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,401,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,441,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,9,39,2,50,18,0,44,6,0
1718,13,441,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,441,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,451,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,4,59,2,65,6.2,0,64,1,0
1718,13,451,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,451,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,1,1,0,2,50,0,0,2,0
1718,13,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,1,32,2,35,2.9,0,35,0,0
1718,13,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,461,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,11,30,6,47,23.4,0,43,4,0
1718,13,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,481,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,2,0,2,0,0,0,2,0
1718,13,510,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,26,13,0,39,66.7,0,36,3,0
1718,13,510,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,1,0,0,1,100,0,0,1,0
1718,13,510,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,520,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,28,5,0,33,84.8,0,32,1,0
1718,13,520,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,0,0,0,,0,0,0,
1718,13,520,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,1,0,0,1,100,0,1,0,0
1718,13,521,High Minority/High Poverty/Title I,10,School Chart,Teachers,9,20,2,31,29,0,31,0,0
1718,13,521,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,521,High Minority/High Poverty/Title I,10,School Chart,Other,1,0,0,1,100,0,0,1,0
1718,13,561,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,7,37,1,45,15.6,1,40,4,2.22
1718,13,561,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,561,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,600,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,28,4,0,32,87.5,0,0,32,0
1718,13,600,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,1,0,0,1,100,0,0,1,0
1718,13,600,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,0,0,0,,0,0,0,
1718,13,641,High Minority/High Poverty/Title I,10,School Chart,Teachers,9,20,2,31,29,0,31,0,0
1718,13,641,High Minority/High Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,641,High Minority/High Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,651,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,16,51,2,69,23.2,0,61,8,0
1718,13,651,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,651,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,2,0,2,0,0,0,2,0
1718,13,661,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,8,39,0,47,17,0,42,5,0
1718,13,661,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,661,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,671,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,4,44,4,52,7.7,0,51,1,0
1718,13,671,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,671,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,681,High Minority/Mid-Range Poverty/Title I,10,School Chart,Teachers,3,22,0,25,12,0,23,2,0
1718,13,681,High Minority/Mid-Range Poverty/Title I,10,School Chart,Principals,0,1,0,1,0,0,0,1,0
1718,13,681,High Minority/Mid-Range Poverty/Title I,10,School Chart,Other,0,1,0,1,0,0,0,1,0
1718,13,721,High Minority/Mid-Range Poverty/Non-Title I,10,School Chart,Teachers,3,25,1,29,10.3,0,29,0,0
