year,district_number,LOCATION_DISTRICT,LOC_DISTRICT_NAME,district_name,school_number,school_name_l,school_name_s,website,collocated_number,PHONE_NUMBER,PHYSICAL_ADDRESS,PHYSICAL_CITY,PHYSICAL_STATE,PHYSICAL_ZIP,PRINCIPAL_LAST,PRINCIPAL_FIRST,PRINCIPAL_MI,LATITUDE,LONGITUDE,magnet_status,magnet_specialty,charter,title1,alt_schl,school_type,grade_1819,improvement_rating,final_pct,federal_index,gr_frmINDV,Feeder_School_flag,Receiving_Distenrl,Receiving_Schlenrl,TSI,CSI,total_students,Teacher_Count,CEP_Percentage,receiver_School_flag,feeder_distenrl,feeder_schlenrl,feeder_name,receiving_name
1819,01,1,ALACHUA,ALACHUA,0421,EASTSIDE HIGH SCHOOL,EASTSIDE HIGH SCHOOL,,010421,(352)955-6704,1201 SE 43RD ST,GAINESVILLE,FL,32641-7661,ANDREW,SHANE,,29.63991,-82.26866,P,D,NO,NO,N,High School,C,,53,53,94.9,N,,,Y,N,1323,37,72.6,,,,,
1819,01,1,ALACHUA,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACADEMY,EXPRESSIONS LEARNING ARTS ACAD,,010956,(352)373-5223,5408 SW 13TH ST,GAINESVILLE,FL,32608-5038,DIGIOVANNI,JUNIPER,,29.60295,-82.34172,Z,Z,YES,NO,N,Elementary School,A,,86,86,,N,,,N,N,85,.,24.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,F. W. BUCHHOLZ HIGH SCHOOL,,010431,(352)955-6702,5510 NW 27TH AVE,GAINESVILLE,FL,32606-6405,TENBIEG,JAMES,,29.67867,-82.40159,P,J,NO,NO,N,High School,A,,67,67,95.2,N,,,N,N,2286,80,28.3,,,,,
1819,01,1,ALACHUA,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,FORT CLARKE MIDDLE SCHOOL,,010481,(352)333-2800,9301 NW 23RD AVE,GAINESVILLE,FL,32606-5115,TABER,JARED,,29.67324,-82.44191,Z,Z,NO,NO,N,Middle School,B,,58,58,,N,,,Y,N,1029,41,64.3,,,,,
1819,01,1,ALACHUA,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,GAINESVILLE HIGH SCHOOL,,010151,(352)955-6707,1900 NW 13TH ST,GAINESVILLE,FL,32609-3411,SHELNUTT,DAVID,,29.66946,-82.34108,P,A,NO,NO,N,High School,B,,60,60,91.9,N,,,Y,N,1888,70,33.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,GENESIS PREPARATORY SCHOOL,,010958,(352)379-1188,207 NW 23RD AVE,GAINESVILLE,FL,32609-3604,HENRY,CHARMAINE,,29.67345,-82.32709,Z,Z,YES,YES,N,Elementary School,A,,67,67,,N,,,N,N,72,.,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,GLEN SPRINGS ELEMENTARY SCHOOL,,010331,(352)955-6708,2826 NW 31ST AVE,GAINESVILLE,FL,32605-2241,FEAGIN,DEANNA,,29.68240,-82.36477,Z,Z,NO,YES,N,Elementary School,C,,50,50,,N,,,Y,N,494,29,70.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,HAWTHORNE MIDDLE/HIGH SCHOOL,,010201,(352)481-1900,21403 SE 69TH AVE,HAWTHORNE,FL,32640-3944,FERGUSON,DANIEL,,29.59066,-82.09257,Z,Z,NO,YES,N,Combination School,C,,49,48,93.2,N,,,Y,N,354,4,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,,010981,(352)372-2279,13505 WEST NEWBERRY RD,NEWBERRY,FL,32669-2752,BORGANELLI,SUZANNE,,29.65431,-82.48666,Z,Z,YES,NO,N,Elementary School,A,,84,84,,N,,,N,N,99,.,12.1,,,,,
1819,01,1,ALACHUA,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,HIDDEN OAK ELEMENTARY SCHOOL,,010482,(352)333-2801,2100 FORT CLARKE BLVD,GAINESVILLE,FL,32606-7107,KUHN,JIM,,29.67154,-82.44028,Z,Z,NO,YES,N,Elementary School,A,,76,77,,N,,,N,N,777,51,33.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,HIGH SPRINGS COMMUNITY SCHOOL,,010461,(386)454-1958,1015 N MAIN ST,HIGH SPRINGS,FL,32643-8904,MCNEILL,LYNN,,29.83440,-82.59042,Z,Z,NO,NO,N,Combination School,A,,68,68,,N,,,N,N,956,49,54.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,HOWARD W. BISHOP MIDDLE SCHOOL,,010121,(352)955-6701,1901 NE 9TH ST,GAINESVILLE,FL,32609-3736,GAMBLE,MIKE,,29.66905,-82.31252,P,A,NO,NO,N,Middle School,B,,57,57,,N,,,Y,N,692,32,77.5,,,,,
1819,01,1,ALACHUA,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,IDYLWILD ELEMENTARY SCHOOL,,010321,(352)955-6709,4601 SW 20TH TER,GAINESVILLE,FL,32608-3919,PETERSON,LISA,,29.60960,-82.34783,Z,Z,NO,YES,N,Elementary School,D,,39,41,,N,,,Y,Y,687,47,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,J. J. FINLEY ELEMENTARY SCHOOL,,010031,(352)955-6705,1912 NW 5TH AVE,GAINESVILLE,FL,32603-1517,JONES,KELLY BRILL,,29.65655,-82.34907,Z,Z,NO,YES,N,Elementary School,B,,54,56,,N,,,Y,N,687,45,67.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,JOSEPH WILLIAMS ELEM. SCHOOL,,010111,(352)955-6719,1245 SE 7TH AVE,GAINESVILLE,FL,32641-7151,STOKES,ANYANA,,29.64517,-82.30893,P,A,NO,YES,N,Elementary School,D,,36,36,,N,,,Y,Y,569,32,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,KANAPAHA MIDDLE SCHOOL,,010502,(352)955-6960,5005 SW 75TH ST,GAINESVILLE,FL,32608-4430,ESTES,SHERRY,,29.60709,-82.42023,Z,Z,NO,NO,N,Middle School,B,,61,60,,N,,,Y,N,1056,41,61.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,KIMBALL WILES ELEM. SCHOOL,,010501,(352)955-6955,4601 SW 75TH ST,GAINESVILLE,FL,32608-4204,MUNN,KATHERINE,,29.61141,-82.42040,Z,Z,NO,YES,N,Elementary School,B,,61,62,,N,,,N,N,942,59,54.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,LAKE FOREST ELEMENTARY SCHOOL,,010071,(352)955-6710,4401 SE 4TH AVE,GAINESVILLE,FL,32641-7612,FINLEY,CHARLES,,29.64725,-82.27029,Z,Z,NO,YES,N,Elementary School,D,,32,32,,N,,,Y,Y,420,25,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,LAWTON M. CHILES ELEM. SCHOOL,,010510,(352)333-2825,2525 SCHOOL HOUSE RD,GAINESVILLE,FL,32608-8645,TOMLINSON,CORY,,29.62912,-82.44488,Z,Z,NO,YES,N,Elementary School,A,,65,65,,N,,,N,N,795,51,54.1,,,,,
1819,01,1,ALACHUA,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,LITTLEWOOD ELEMENTARY SCHOOL,,010091,(352)955-6712,812 NW 34TH ST,GAINESVILLE,FL,32605-5027,RUSSELL,JUSTIN,,29.66047,-82.37405,Z,Z,NO,YES,N,Elementary School,B,,58,58,,N,,,N,N,706,48,73.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,MARJORIE KINNAN RAWLINGS ELEM,,010341,(352)955-6715,3500 NE 15TH ST,GAINESVILLE,FL,32609-2430,CREAMER,LAURA,,29.68434,-82.30725,P,F,NO,YES,N,Elementary School,C,,48,48,,N,,,Y,N,324,18,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,MEADOWBROOK ELEMENTARY SCHOOL,,010520,(352)333-2828,11525 NW 39TH AVE,GAINESVILLE,FL,32606-4906,BURKLEW,BRAD,,29.68902,-82.45909,Z,Z,NO,YES,N,Elementary School,A,,73,73,,N,,,N,N,832,54,33.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0961,MICANOPY  ACADEMY,MICANOPY  ACADEMY,,010961,(352)466-1090,708 NW OKEHUMKEE,MICANOPY,FL,32667-4144,LOWE-PHILLIPS,TARA,R,29.50905,-82.28887,Z,Z,YES,NO,N,Combination School,B,,60,60,*,N,,,N,N,77,.,11.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.","MICANOPY AREA COOPERATIVE SCHOOL, INC.",,010951,(352)466-0990,802 NW SEMINARY AVE,MICANOPY,FL,32667-8500,MAYNARD,BRENDA,,29.50483,-82.28985,Z,Z,YES,YES,N,Elementary School,A,,68,68,,N,,,Y,N,212,16,49.1,,,,,
1819,01,1,ALACHUA,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,MYRA TERWILLIGER ELEM. SCHOOL,,010311,(352)955-6717,301 NW 62ND ST,GAINESVILLE,FL,32607-2003,ZELLER,ASHLEA,,29.65505,-82.40708,Z,Z,NO,YES,N,Elementary School,C,,53,53,,N,,,N,N,558,35,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,NEWBERRY ELEMENTARY SCHOOL,,010531,(352)472-1100,25705 SW 15TH AVE,NEWBERRY,FL,32669-2554,MCALHANY,CONSTANCE VICTORIA,,29.63786,-82.61352,Z,Z,NO,YES,N,Elementary School,C,,50,52,,N,,,Y,N,633,43,68.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0261,NEWBERRY HIGH SCHOOL,NEWBERRY HIGH SCHOOL,,010261,(352)472-1101,400 SW 258TH ST,NEWBERRY,FL,32669-4112,SHEPPARD,JAMES,,29.64327,-82.61452,P,B,NO,NO,N,High School,B,,61,61,100.0,N,,,Y,N,653,21,57.7,,,,,
1819,01,1,ALACHUA,ALACHUA,1003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,,011003,(352)379-2902,1000 NE 16TH BLVD BLDG C,GAINESVILLE,FL,32601-4541,STARLING,RANDY,,29.67320,-82.33911,Z,Z,YES,YES,A,Combination School,,M,41,6,37.1,N,,,Y,Y,198,.,97.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,OAK VIEW MIDDLE SCHOOL,,010591,(352)472-1102,1203 SW 250TH ST,NEWBERRY,FL,32669-5238,ARMSTRONG,KELLY,,29.63680,-82.60563,P,A,NO,NO,N,Combination School,A,,62,62,,N,,,Y,N,899,33,51.1,,,,,
1819,75,1,ALACHUA,UF LAB SCHOOL DISTRICT,0391,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,,750391,(352)392-1554,1080 SW 11TH ST,GAINESVILLE,FL,32601-7845,GEIGER,CARRIE,T,29.64111,-82.33561,Z,Z,NO,YES,N,Combination School,A,,66,66,98.1,N,,,Y,N,1157,61,37.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0604,PACE,PACE,,010604,(352)374-8799,1010 SE 4TH AVE,GAINESVILLE,FL,32601-6907,BANNISTER,NATALYA,,29.64875,-82.31301,Z,Z,NO,NO,N,DJJ School,,,,7,*,N,,,Y,Y,51,.,78.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH,,010411,(352)955-6839,3000 E UNIVERSITY AVE,GAINESVILLE,FL,32641-6033,MCELROY,BILL,,29.65590,-82.28626,S,J,NO,NO,N,High School,A,,66,66,93.0,N,,,Y,N,264,13,59.8,,,,,
1819,01,1,ALACHUA,ALACHUA,1013,RESILIENCE CHARTER SCHOOL INC,RESILIENCE CHARTER SCHOOL INC,,011013,(352)745-3690,1717 NE 9TH ST,GAINESVILLE,FL,32609-3738,HILL,JENNIFER,,29.66751,-82.31477,Z,Z,YES,NO,N,Middle School,C,,48,48,,N,,,Y,N,85,.,65.9,,,,,
1819,01,1,ALACHUA,ALACHUA,0271,SANTA FE HIGH SCHOOL,SANTA FE HIGH SCHOOL,,010271,(386)462-1125,16213 NW US HIGHWAY 441,ALACHUA,FL,32615-6399,LECLEAR,BETH,,29.80726,-82.52440,P,J,NO,NO,N,High School,B,,56,56,94.7,N,,,Y,N,1086,35,33.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0991,SIATECH AT GAINESVILLE,SIATECH AT GAINESVILLE,,010991,(352)333-7952,7022 NW 10TH PL,GAINESVILLE,FL,32605-3147,SCOTT,WILLIAM,R,29.66239,-82.41770,Z,Z,YES,YES,A,High School,,I,,7,12.9,N,,,Y,Y,187,4,79.1,,,,,
1819,01,1,ALACHUA,ALACHUA,0081,SIDNEY LANIER CENTER,SIDNEY LANIER CENTER,,010081,(352)955-6841,312 NW 16TH AVE,GAINESVILLE,FL,32601-4205,KAMMAN,ROYCE,G,29.66796,-82.32770,Z,Z,NO,YES,A,Combination School,,U,19,12,*,N,,,Y,Y,166,27,81.9,,,,,
1819,01,1,ALACHUA,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,STEPHEN FOSTER ELEMENTARY SCHL,,010041,(352)955-6706,3800 NW 6TH ST,GAINESVILLE,FL,32609-2243,WAKELEY,WANZA,,29.68757,-82.33276,P,G,NO,YES,N,Elementary School,B,,56,56,,N,,,Y,N,539,36,84.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.","THE EINSTEIN SCHOOL, INC.",,010955,(352)335-4321,5910 SW ARCHER RD,GAINESVILLE,FL,32608-4702,AURELIO,CHRISTINE,,29.60776,-82.40632,Z,Z,YES,NO,A,Combination School,,M,40,32,,N,,,Y,Y,108,1,85.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,THE ONE ROOM SCHOOL HOUSE PROJECT,,010950,(352)376-4014,4180 NE 15TH ST,GAINESVILLE,FL,32609-2011,SONBERG,SARAH,,29.68986,-82.30665,Z,Z,YES,YES,N,Elementary School,B,,60,60,,N,,,N,N,220,.,100.0,,,,,
1819,75,1,ALACHUA,UF LAB SCHOOL DISTRICT,0000,UF LAB SCHOOL DISTRICT,,,,,1080 SW 11TH ST,GAINESVILLE,FL,32601-7845,Hayes,Lynda,,29.64057,-82.33595,,,,,,,N/A,,,66,98.1,,,,,,1157,61,37.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,W. A. METCALFE ELEMENTARY SCHOOL,,010101,(352)955-6713,1250 NE 18TH AVE,GAINESVILLE,FL,32609-3893,ROLLE,JAQUATTE,,29.66918,-82.30805,Z,Z,NO,YES,N,Elementary School,B,,55,55,,N,,,N,N,210,14,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,W. W. IRBY ELEMENTARY SCHOOL,,010571,(386)462-5002,13505 NW 140TH ST,ALACHUA,FL,32615-6110,FLOYD,TANYA,,29.77913,-82.49293,Z,Z,NO,YES,N,Elementary School,,,,73,,N,,,N,N,432,31,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,WESTWOOD MIDDLE SCHOOL,,010141,(352)955-6718,3215 NW 15TH AVE,GAINESVILLE,FL,32605-5053,BURNEY,DANIEL,,29.66540,-82.37057,Z,Z,NO,NO,N,Middle School,B,,56,57,,N,,,Y,N,1093,28,73.3,,,,,
1819,01,1,ALACHUA,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,WILLIAM S. TALBOT ELEM SCHOOL,,010561,(352)955-6716,5701 NW 43RD ST,GAINESVILLE,FL,32653-3331,DELL,NANNETTE,,29.70776,-82.38714,Z,Z,NO,YES,N,Elementary School,B,,57,56,,N,,,Y,N,764,50,49.6,,,,,
1819,02,2,BAKER,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,BAKER COUNTY MIDDLE SCHOOL,,020032,(904)259-2226,211 E JONATHAN ST,MACCLENNY,FL,32063-2703,HILL,THOMAS,,30.27537,-82.11890,Z,Z,NO,NO,N,Middle School,B,,57,57,,N,,,Y,N,1195,71,72.4,,,,,
1819,02,2,BAKER,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,BAKER COUNTY SENIOR HIGH SCHOOL,,020012,(904)259-6286,1 WILDCAT DR,GLEN ST MARY,FL,32040-4208,MURPHY,ALLEN,,30.27952,-82.15473,Z,Z,NO,NO,N,High School,B,,57,57,78.8,N,,,Y,N,1385,78,58.2,,,,,
1819,02,2,BAKER,BAKER,0000,BAKER SCHOOL DISTRICT,,,,,270 SOUTH BLVD E,MACCLENNY,FL,32063-2538,Raulerson,Sherrie,,30.27725,-82.11769,,,,,,,B,,59,60,78.8,,,,,,5060,298,69.9,,,,,
1819,02,2,BAKER,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,J FRANKLYN KELLER INTERMEDIATE SCHOOL,,020031,(904)259-4244,420 S 8TH ST,MACCLENNY,FL,32063-2328,HORNE,KELLY,,30.27728,-82.12823,Z,Z,NO,YES,N,Elementary School,C,,46,46,,N,,,Y,N,769,42,74.6,,,,,
1819,02,2,BAKER,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,MACCLENNY ELEMENTARY SCHOOL,,020013,(904)259-2551,1 WILD KITTEN DR,MACCLENNY,FL,32063-4198,GREEN,LYNN,,30.29803,-82.12955,Z,Z,NO,YES,N,Elementary School,A,,85,85,,N,,,N,N,592,37,73.5,Y,02,0022,PREK/KINDERGARTEN CENTER,
1819,02,2,BAKER,BAKER,0022,PREK/KINDERGARTEN CENTER,PREK/KINDERGARTEN CENTER,,020022,(904)259-0405,362 SOUTH BLVD E,MACCLENNY,FL,32063-2540,JONES,BONNIE,,30.27739,-82.11682,Z,Z,NO,NO,N,Feeder School,A,,85,85,,Y,02,0013,N,N,550,31,66.2,,,,,MACCLENNY ELEMENTARY SCHOOL
1819,02,2,BAKER,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,WESTSIDE ELEMENTARY SCHOOL,,020091,(904)259-2216,1 PANTHER CIR,GLEN ST MARY,FL,32040-4220,FRASER,DEBBIE,,30.28071,-82.15872,Z,Z,NO,YES,N,Elementary School,A,,74,74,,N,,,N,N,569,38,86.5,,,,,
1819,03,3,BAY,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,A. CRAWFORD MOSLEY HIGH SCHOOL,,030491,(850)767-4400,501 MOSLEY DR,LYNN HAVEN,FL,32444-5609,BULLOCK,BRIAN,,30.20851,-85.64328,Z,Z,NO,NO,N,High School,A,,65,65,92.1,N,,,Y,N,1802,87,32.2,,,,,
1819,03,3,BAY,BAY,0701,BAY HAVEN CHARTER ACADEMY,BAY HAVEN CHARTER ACADEMY,,030701,(850)248-3500,2501 HAWKS LANDING BLVD,PANAMA CITY,FL,32405-6658,VICKERS,JAMIE,,30.21328,-85.62665,Z,Z,YES,NO,N,Elementary School,A,,66,66,,N,,,N,N,768,49,35.0,,,,,
1819,03,3,BAY,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,BAY HAVEN CHARTER MIDDLE SCHOOL,,030711,(850)248-3500,2501 HAWKS LANDING BLVD,PANAMA CITY,FL,32405-6658,VICKERS,JAMIE,,30.21328,-85.62665,Z,Z,YES,NO,N,Middle School,A,,68,68,,N,,,Y,N,464,26,33.2,,,,,
1819,03,3,BAY,BAY,0061,BAY HIGH SCHOOL,BAY HIGH SCHOOL,,030061,(850)767-4600,1200 HARRISON AVE,PANAMA CITY,FL,32401-2433,MAY,BILLY,,30.16973,-85.66020,Z,Z,NO,YES,N,High School,B,,57,56,85.8,N,,,Y,N,1223,62,60.1,,,,,
1819,03,3,BAY,BAY,0000,BAY SCHOOL DISTRICT,,,,,1311 BALBOA AVE,PANAMA CITY,FL,32401-2080,Husfelt,William,,30.17266,-85.67600,,,,,,,B,,60,61,82.5,,,,,,28129,1865,58.5,,,,,
1819,03,3,BAY,BAY,7004,BAY VIRTUAL FRANCHISE,BAY VIRTUAL FRANCHISE,,037004,(850)767-4460,1515 JUNE AVE,PANAMA CITY,FL,32405-3728,ROUSE,SHELLY,,30.17653,-85.67898,Z,Z,NO,NO,N,Combination School,A,,86,86,95.0,N,,,N,N,62,.,14.5,,,,,
1819,03,3,BAY,BAY,7006,BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS),BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS),,037006,(850)767-4460,1515 JUNE AVE,PANAMA CITY,FL,32405-3728,ROUSE,SHELLY,,30.17653,-85.67898,Z,Z,NO,NO,N,High School,B,,57,57,100.0,N,,,N,N,16,.,43.8,,,,,
